Timestamp (s),Value
8.282742023468018,2399
8.282771110534668,2395
8.282778024673462,2402
8.282782316207886,2625
8.282786130905151,2699
8.282798051834106,2723
8.282824993133545,2723
8.28282904624939,2722
8.282833099365234,2714
8.282835960388184,2727
8.282840013504028,2723
8.282843112945557,2724
8.282846927642822,2716
8.28285002708435,2725
8.282856225967407,2722
8.282877206802368,2728
8.282880067825317,2713
8.282884120941162,2722
8.28288722038269,2719
8.282891035079956,2730
8.282894134521484,2714
8.282901048660278,2724
8.282921314239502,2723
8.282925128936768,2727
8.282928228378296,2714
8.282931327819824,2724
8.28293514251709,2719
8.282938241958618,2726
8.282941102981567,2713
8.282945156097412,2729
8.282948017120361,2718
8.28295111656189,2727
8.282954931259155,2716
8.282958030700684,2725
8.282962083816528,2716
8.282975912094116,2726
8.282981157302856,2720
8.282984256744385,2717
8.282987117767334,2719
8.282990217208862,2727
8.282999038696289,2713
8.283003091812134,2727
8.283006191253662,2715
8.283009052276611,2722
8.28301215171814,2711
8.283016204833984,2728
8.283019065856934,2714
8.283051013946533,2726
8.283055067062378,2718
8.283058166503906,2724
8.283061981201172,2713
8.2830650806427,2723
8.283074140548706,2715
8.283091306686401,2723
8.283093929290771,2714
8.2830970287323,2725
8.283101320266724,2714
8.283103942871094,2725
8.283107995986938,2714
8.283111095428467,2724
8.283113956451416,2711
8.283117055892944,2726
8.283120155334473,2711
8.283123970031738,2726
8.283129215240479,2718
8.283133268356323,2724
8.283148050308228,2711
8.283151149749756,2723
8.2831552028656,2716
8.28315806388855,2722
8.283161163330078,2719
8.283164262771606,2716
8.283168077468872,2722
8.2831711769104,2716
8.283174276351929,2723
8.283177137374878,2715
8.283182144165039,2717
8.283188104629517,2720
8.283205032348633,2715
8.283209085464478,2720
8.283211946487427,2720
8.283215045928955,2719
8.283218145370483,2719
8.283221960067749,2724
8.283225059509277,2715
8.283228158950806,2718
8.283231019973755,2715
8.2832350730896,2724
8.283238172531128,2713
8.283241271972656,2722
8.283245086669922,2720
8.283250093460083,2715
8.2832670211792,2724
8.283271074295044,2710
8.283273935317993,2722
8.283277034759521,2715
8.283281087875366,2720
8.283283948898315,2723
8.28328800201416,2716
8.283291101455688,2719
8.283294200897217,2716
8.283297061920166,2719
8.283300161361694,2714
8.283304214477539,2722
8.283307075500488,2709
8.283310174942017,2726
8.283314228057861,2711
8.283318042755127,2723
8.283331155776978,2714
8.283335208892822,2720
8.283338069915771,2718
8.2833411693573,2712
8.283345222473145,2721
8.283348083496094,2712
8.283350944519043,2726
8.283354043960571,2713
8.28338623046875,2717
8.283390283584595,2722
8.283393144607544,2711
8.283396005630493,2725
8.283400297164917,2712
8.283402919769287,2722
8.283406019210815,2715
8.28341031074524,2724
8.28341293334961,2713
8.283416032791138,2723
8.283420085906982,2711
8.283429145812988,2718
8.283483266830444,2716
8.283497333526611,2715
8.283501148223877,2725
8.283504247665405,2716
8.283507108688354,2722
8.2835111618042,2718
8.283514022827148,2717
8.283517122268677,2712
8.283519983291626,2721
8.283523082733154,2710
8.283526182174683,2723
8.283534049987793,2710
8.283537149429321,2722
8.28354001045227,2718
8.283543109893799,2710
8.283547163009644,2715
8.283550262451172,2714
8.283553123474121,2723
8.28355622291565,2710
8.283560276031494,2721
8.283563137054443,2713
8.283565998077393,2726
8.28357195854187,2712
8.283581256866455,2719
8.283586025238037,2716
8.283590078353882,2714
8.283592939376831,2723
8.28359603881836,2710
8.283599138259888,2724
8.283603191375732,2710
8.283606052398682,2724
8.28360915184021,2709
8.283612251281738,2724
8.283615112304688,2710
8.283619165420532,2723
8.283624172210693,2710
8.28365421295166,2725
8.283658027648926,2710
8.283661127090454,2719
8.283665180206299,2713
8.283668041229248,2714
8.283671140670776,2721
8.283676147460938,2711
8.283690929412842,2723
8.28369402885437,2713
8.28370213508606,2725
8.283704996109009,2710
8.283708095550537,2715
8.283711910247803,2719
8.283715009689331,2710
8.28371810913086,2719
8.283720970153809,2715
8.283724069595337,2715
8.283729076385498,2723
8.283744096755981,2708
8.283748149871826,2719
8.283751249313354,2714
8.283754110336304,2710
8.283756971359253,2720
8.283760070800781,2709
8.283763885498047,2724
8.28376817703247,2711
8.283772230148315,2719
8.283775091171265,2717
8.283777952194214,2717
8.283781051635742,2719
8.283784866333008,2707
8.283787965774536,2722
8.28381896018982,2710
8.283822059631348,2722
8.283826112747192,2710
