Time (s),Sensor 1 - Short Channel
0.0012831687927246094,1822
0.011302947998046875,2076
0.02139902114868164,1851
0.031223058700561523,1933
0.04123091697692871,2068
0.05123400688171387,1660
0.060762882232666016,2094
0.07092785835266113,1826
0.08088302612304688,1941
0.09080100059509277,2046
0.10085511207580566,1735
0.11059999465942383,1959
0.12059998512268066,1767
0.13063311576843262,1984
0.140516996383667,1928
0.1506209373474121,1431
0.16064000129699707,1650
0.17061090469360352,1205
0.18059301376342773,1142
0.1907060146331787,1178
0.20069098472595215,623
0.21067190170288086,705
0.22037887573242188,227
0.23022103309631348,130
0.26018524169921875,173
0.31024789810180664,252
0.3302268981933594,126
0.34021711349487305,124
0.3599729537963867,229
0.37997007369995117,109
0.410006046295166,186
0.4299001693725586,127
0.43981122970581055,161
0.44966721534729004,566
0.4596419334411621,1848
0.469696044921875,1963
0.4797220230102539,2317
0.4896728992462158,2297
0.4996170997619629,2065
0.5095570087432861,2461
0.5197350978851318,2026
0.529731035232544,2337
0.5397109985351562,2400
0.549156904220581,2244
0.5591728687286377,2708
0.5691750049591064,2369
0.5791070461273193,2717
0.5890769958496094,2667
0.5992231369018555,2660
0.6090729236602783,2910
0.6191070079803467,2656
0.6290891170501709,2814
0.6391911506652832,2647
0.6491639614105225,2514
0.6591339111328125,2683
0.6690318584442139,2358
0.6790919303894043,2523
0.6889548301696777,2146
0.698969841003418,300
0.7090408802032471,364
0.7291510105133057,768
0.7389659881591797,3698
0.7490251064300537,3863
0.7685031890869141,3806
0.8487281799316406,3860
0.868096113204956,3837
0.8880431652069092,3885
0.8980622291564941,3448
0.9082949161529541,3266
0.9181420803070068,2398
0.9281420707702637,2656
0.9380950927734375,2517
0.9480600357055664,2434
0.9582400321960449,2707
0.9681909084320068,2150
0.9781661033630371,2771
0.9878358840942383,2769
0.9979960918426514,3429
1.0081532001495361,3878
1.0178780555725098,3704
1.067816972732544,3782
1.09779691696167,3889
1.11757493019104,3745
1.1276419162750244,3770
1.137557029724121,3229
1.1476259231567383,3016
1.1574931144714355,2995
1.1675970554351807,2495
1.1776230335235596,3155
1.1872270107269287,3129
1.1973059177398682,3536
1.2073159217834473,3456
1.2177379131317139,3132
1.2271180152893066,3348
1.2370800971984863,3233
1.2471728324890137,3594
1.257159948348999,3812
1.2674670219421387,3844
1.287053108215332,3795
1.2973370552062988,3467
1.3068768978118896,2761
1.3167970180511475,1889
1.327242136001587,1687
1.3370771408081055,694
1.347135066986084,753
1.3566970825195312,860
1.366745948791504,1024
1.3765840530395508,1348
1.386620044708252,1037
1.3966798782348633,1216
1.40671706199646,1203
1.4166269302368164,1442
1.426671028137207,1920
1.4380218982696533,1473
1.4465360641479492,1950
1.4565551280975342,1854
1.4665329456329346,2040
1.476212978363037,2595
1.4862720966339111,2279
1.4963021278381348,2744
1.5068418979644775,2924
1.5164859294891357,3030
1.5280787944793701,3430
1.5364360809326172,3003
1.5463309288024902,2979
1.5562679767608643,2737
1.566305160522461,2596
1.5759930610656738,3006
1.5859777927398682,2517
1.5961520671844482,2906
1.6062610149383545,2564
1.6161539554595947,2313
1.626101016998291,1934
1.6361019611358643,1005
1.6460840702056885,771
1.6558740139007568,363
1.6667120456695557,306
1.675917148590088,611
1.685845136642456,447
1.695887804031372,759
1.7058210372924805,671
1.715749979019165,549
1.7256090641021729,642
1.735663890838623,164
1.7457270622253418,376
1.7583439350128174,413
1.7657349109649658,645
1.776839017868042,1340
1.7856130599975586,1165
1.7957119941711426,1904
1.8055930137634277,1905
1.8152430057525635,2234
1.8253540992736816,2472
1.8353140354156494,2309
1.8453290462493896,2659
1.8553109169006348,2567
1.8653161525726318,2679
1.8753480911254883,2936
1.8852801322937012,2553
1.8952200412750244,2970
1.9048221111297607,2869
1.9147999286651611,3143
1.92484712600708,3416
1.9349050521850586,3267
1.944955825805664,3577
1.9549150466918945,3130
1.9650239944458008,2949
1.9752330780029297,2739
1.9850718975067139,2230
1.9951181411743164,2441
2.004693031311035,2364
2.0147111415863037,3140
2.0246880054473877,3631
2.034701108932495,3268
2.044790029525757,3273
2.0546629428863525,2948
2.064692974090576,2945
2.0748190879821777,3003
2.0847039222717285,2909
2.094697952270508,3282
2.104196071624756,3149
2.114276170730591,3229
2.1244192123413086,3106
2.1343228816986084,2724
2.1444380283355713,2765
2.1543240547180176,2654
2.1643970012664795,3146
2.174414873123169,3172
2.1842901706695557,2755
2.1943612098693848,2814
2.2038559913635254,2297
2.213879108428955,2377
2.2238049507141113,2216
2.233870029449463,2567
2.2438578605651855,3717
2.284207820892334,3883
2.552802085876465,3899
2.6027629375457764,3898
2.7022359371185303,3867
3.0012989044189453,3847
3.1509928703308105,3854
3.1704819202423096,3882
3.2205588817596436,3899
3.4196128845214844,3894
3.6690080165863037,3886
3.7186200618743896,3892
3.8186399936676025,3855
3.8684279918670654,3894
3.9683640003204346,3885
4.336702108383179,3876
4.437692880630493,3840
4.835446119308472,3894
4.8853440284729,3894
5.035217046737671,3871
5.2038960456848145,3897
5.253902196884155,3856
5.353513956069946,3880
5.4035468101501465,3883
5.553344964981079,3885
5.602917909622192,3829
5.613001108169556,3866
5.622973918914795,3795
5.6329309940338135,3822
5.64300799369812,3541
5.6528000831604,3479
5.6628429889678955,780
5.6827452182769775,107
5.692613840103149,177
5.712651014328003,147
5.732387065887451,135
5.762162923812866,206
5.7821362018585205,121
5.812127113342285,210
5.832160949707031,140
5.861951112747192,236
5.8820202350616455,118
5.911888837814331,144
5.931726932525635,127
5.9617018699646,137
5.98159384727478,129
6.011274099349976,191
6.0314860343933105,129
6.061477899551392,149
6.081417083740234,123
6.11115288734436,115
6.131027936935425,150
6.16112208366394,213
6.180920124053955,143
6.210716962814331,142
6.23065710067749,117
6.280501127243042,142
6.310802936553955,212
6.330677032470703,139
6.380401849746704,184
6.430289030075073,192
6.460047960281372,114
6.47982120513916,241
6.5001630783081055,145
6.509994029998779,137
6.52991795539856,160
6.549788951873779,109
6.559792995452881,111
6.579761028289795,161
6.599869966506958,121
6.609600067138672,107
6.629615068435669,198
6.679478168487549,238
6.699388027191162,106
6.729328870773315,203
6.749276876449585,118
6.779170036315918,185
6.799108982086182,130
6.829020977020264,207
6.848968982696533,125
6.878705978393555,201
6.898813009262085,142
6.928744077682495,206
6.94874906539917,142
6.978582143783569,123
6.998373985290527,123
7.028105974197388,147
7.047945976257324,158
7.0781409740448,158
7.09814715385437,163
7.128078937530518,219
7.148044109344482,105
7.177865028381348,212
7.197885036468506,152
7.227727890014648,130
7.247539043426514,199
7.277384996414185,110
7.297363042831421,124
7.327244997024536,105
7.347156047821045,181
7.37742018699646,165
7.397403955459595,203
7.4271240234375,148
7.447069883346558,211
7.466669082641602,220
7.4765849113464355,155
7.48668909072876,421
7.497009992599487,567
7.506671190261841,618
7.51685094833374,1027
7.526561975479126,878
7.5366809368133545,1390
7.54674506187439,1311
7.556748151779175,1505
7.5667479038238525,1777
7.5766541957855225,1562
7.586658000946045,1998
7.596612215042114,1825
7.606605052947998,2007
7.616945028305054,2186
7.6263251304626465,1972
7.636337041854858,2299
7.646336078643799,2043
7.656324148178101,2331
7.669293165206909,2389
7.676364183425903,2239
7.6868181228637695,2374
7.696377992630005,2207
7.707890033721924,2430
7.715977907180786,2434
7.725841045379639,2348
7.735848903656006,2556
7.745822906494141,2326
7.755846977233887,2471
7.765907049179077,2544
7.775856018066406,2366
7.785851955413818,2578
7.795863151550293,2356
7.80584192276001,2537
7.8160741329193115,2522
7.825725078582764,2437
7.835987091064453,2670
7.845830917358398,2347
7.855584144592285,2486
7.8658061027526855,2493
7.875658988952637,2140
7.885643005371094,2314
7.89553689956665,2076
7.905555009841919,2105
7.915605068206787,1989
7.9255051612854,1767
7.935428857803345,2003
7.945358991622925,1831
7.955395221710205,2022
7.965430974960327,2055
7.975527048110962,1891
7.985303163528442,2325
7.995281934738159,1991
8.005352020263672,2335
8.015264987945557,2293
8.02493691444397,2237
8.034955024719238,2552
8.044888019561768,2283
8.05483603477478,2452
8.064826011657715,2413
8.07483196258545,2357
